,acyear,nationality,gender,subj_code,subj_name,stud_count
95,2021,NATD,GESM,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,37
96,2022,NATA,GESM,SF095,Latein,4
97,2022,NATD,GESM,SF274,Tourismuswirtschaft,345
98,2021,NATA,GESM,SF138,Agrarbiologie,65
99,2018,NATD,GESM,SF149,Soziologie,735
100,2018,NATD,GESW,SF083,Islamwissenschaft,99
101,2021,NATD,GESM,SF041,Sonstiges Orientierungsstudium,6
102,2019,NATD,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
103,2020,NATA,GESW,SF333,Haushaltswissenschaft,0
104,2018,NATD,GESM,SF385,Geoökologie,68
105,2023,NATA,GESM,SF088,Optoelektronik,4
106,2023,NATD,GESW,SF210,Verkehrswirtschaft,46
107,2022,NATA,GESM,SF008,Anglistik/Englisch,326
108,2021,NATA,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
109,2018,NATD,GESM,SF145,Sinologie/Koreanistik,93
110,2022,NATA,GESW,SF282,Biotechnologie,439
111,2018,NATD,GESW,SF086,"Katholische Theologie, - Religionslehre",387
112,2021,NATD,GESW,SF230,Gesang,25
113,2021,NATD,GESW,SF136,Religionswissenschaft,50
114,2023,NATA,GESW,SF274,Tourismuswirtschaft,192
115,2018,NATA,GESM,SF085,Japanologie,34
116,2023,NATD,GESW,SF116,Textilgestaltung,251
117,2020,NATD,GESW,SF144,Technische Kybernetik,11
118,2022,NATD,GESM,SF036,Sonstige Regionalwissenschaften,17
119,2022,NATA,GESW,SF042,Wirtschaftsrecht,167
120,2023,NATD,GESM,SF268,Verkehrswesen,0
121,2021,NATA,GESW,SF076,Hütten- und Gießereiwesen,17
122,2019,NATD,GESW,SF078,Indologie,14
123,2022,NATD,GESW,SF124,Ozeanografie,0
124,2023,NATA,GESW,SF034,Dänisch,0
125,2019,NATA,GESM,SF171,Vermessungswesen (Geodäsie),187
126,2023,NATD,GESM,SF028,Brauwesen/Getränketechnologie,66
127,2022,NATA,GESW,SF188,Allgemeine Literaturwissenschaft,138
128,2018,NATA,GESW,SF271,Deutsch als Fremdsprache oder als Zweitsprache,457
129,2022,NATA,GESW,SF189,Niederdeutsch,0
130,2019,NATA,GESM,SF078,Indologie,2
131,2018,NATA,GESW,SF031,Byzantinistik,1
132,2023,NATD,GESM,SF122,"Orientalistik, Altorientalistik",74
133,2020,NATA,GESM,SF144,Technische Kybernetik,7
134,2020,NATD,GESM,SF197,Holzbau,113
135,2021,NATD,GESM,SF044,Ost- und Südosteuropa-Studien,3
136,2020,NATD,GESM,SF207,Sorabistik,0
137,2019,NATD,GESM,SF235,Fahrzeugtechnik,1433
138,2022,NATD,GESM,SF275,Wissenschaftsgeschichte/Technikgeschichte,3
139,2021,NATA,GESM,SF135,Rechtswissenschaft,665
140,2018,NATA,GESW,SF177,Werkstofftechnik,116
141,2019,NATA,GESW,SF264,Sozialversicherung,14
142,2022,NATA,GESM,SF102,Schauspiel,14
