,year,subj_grp_code,subj_grp_name,gender,number
683,2022,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,f,163
684,2023,PHIL-KLASS-01,Altphilologie (klassische Philologie),f,190
685,2022,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",m,155
686,2020,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,f,225
687,2022,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),m,6268
688,2020,SB-INGW-07,Raumplanung,f,357
689,2022,SB-RWSW-02,Regionalwissenschaften,f,92
690,2018,MEDHUM-ALLG-01,Humanmedizin allgemein,f,317
691,2018,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,245
692,2022,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",f,408
693,2019,SB-KUNSTW-02,Bildende Kunst,m,443
694,2020,EINR-SOZ-01,Soziale Einrichtungen,f,9
695,2022,SB-MEDHUM-01,Gesundheitswissenschaften,m,857
696,2023,MEDHUM-ALLG-01,Humanmedizin allgemein,m,552
697,2021,SB-RWSW-07,Verwaltungswissenschaften,f,764
698,2019,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,255
699,2022,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,f,248
700,2019,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",f,1337
701,2022,SB-KUNSTW-05,"Musik, Musikwissenschaft",f,1188
702,2020,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",f,306
703,2019,SB-AGRW-01,"Landespflege, Umweltgestaltung",f,237
704,2022,SB-RWSW-08,Wirtschaftswissenschaften,f,5954
705,2021,HS-VERW-02,Zentral verwaltete Hörsäle und Lehrräume,f,0
706,2021,SB-RWSW-08,Wirtschaftswissenschaften,f,5871
707,2022,SB-RWSW-07,Verwaltungswissenschaften,f,794
708,2020,BIB-ZENTRAL-01,Zentralbibliothek,m,227
709,2021,HS-VERW-01,Zentrale Hochschulverwaltung,f,2054
710,2019,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,f,382
711,2022,SB-SKW-14,Kulturwissenschaften i.e.S.,m,234
712,2018,MEDVET-VK-01,Vorklinische Veterinärmedizin,m,98
713,2020,HS-01,Hochschule insgesamt,m,331
714,2019,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),m,22380
715,2022,SB-RWSW-05,Sozialwesen,f,1789
716,2018,SB-SKW-04,Philosophie,m,1072
717,2018,MEDVET-KT-01,Klinisch-theoretische Veterinärmedizin,m,225
718,2022,SB-SKW-17,Sonderpädagogik,m,0
719,2023,SB-RWSW-03,Politikwissenschaft,f,872
720,2021,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,f,221
721,2018,SB-RWSW-10,Psychologie,m,2085
722,2019,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,m,169
723,2023,SB-RWSW-02,Regionalwissenschaften,f,80
724,2022,SB-NATW-08,Geowissenschaften (ohne Geographie),f,1078
725,2022,SB-RWSW-08,Wirtschaftswissenschaften,m,10897
726,2018,EINR-SONST-01,Übrige Ausbildungseinrichtungen,m,193
727,2021,SB-KUNSTW-03,Gestaltung,f,738
728,2018,SB-INGW-08,Bauingenieurwesen,m,3436
729,2020,SB-NATW-02,Mathematik,f,1561
730,2020,SB-SKW-18,Islamische Studien/Islamische Theologie,m,105
731,2022,SB-SKW-18,Islamische Studien/Islamische Theologie,m,87
732,2022,SB-INGW-02,"Bergbau, Hüttenwesen",m,400
733,2022,HS-VERW-01,Zentrale Hochschulverwaltung,f,2203
734,2018,SB-SKW-19,Medienwissenschaft,m,0
735,2019,SB-RWSW-04,Sozialwissenschaften/Soziologie,m,1566
736,2018,THEOL-EV-01,Evangelische Theologie,f,463
737,2022,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),f,2350
738,2019,SB-MEDHUM-01,Gesundheitswissenschaften,m,716
739,2018,SB-SKW-05,Geschichte,m,1883
740,2023,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,m,360
741,2022,SB-SKW-06,Informations- und Bibliothekswissenschaften,f,85
742,2021,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,m,654
743,2020,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,f,114
744,2023,SB-SKW-04,Philosophie,m,1019
745,2022,MEDVET-KP-01,Klinisch-praktische Veterinärmedizin,m,195
746,2018,EINR-SOZ-01,Soziale Einrichtungen,m,14
747,2020,SB-KUNSTW-05,"Musik, Musikwissenschaft",f,1081
748,2021,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),m,2102
749,2022,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,f,416
750,2018,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",f,1301
751,2020,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,f,142
752,2020,SB-RWSW-03,Politikwissenschaft,f,792
753,2019,HS-01,Hochschule insgesamt,m,348
754,2018,SB-RWSW-05,Sozialwesen,m,952
755,2020,SB-INGW-05,"Verkehrstechnik, Nautik",m,2046
756,2019,SB-INGW-07,Raumplanung,m,353
757,2019,SB-SKW-05,Geschichte,m,1889
758,2023,MEDVET-ALLG-01,Veterinärmedizin allgemein,f,10
759,2023,SB-SKW-18,Islamische Studien/Islamische Theologie,m,80
760,2018,SB-NATW-04,"Physik, Astronomie",m,8832
761,2022,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,m,140
762,2020,SKW-SONST-01,Sonstige Sprach- und Kulturwissenschaften,m,728
763,2019,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,f,119
764,2020,SB-INGW-10,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,m,407
765,2018,PHIL-KLASS-01,Altphilologie (klassische Philologie),f,211
766,2022,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,m,1886
767,2021,SB-SKW-19,Medienwissenschaft,f,300
768,2021,SB-SKW-05,Geschichte,m,1818
769,2021,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,f,4083
770,2020,SB-RWSW-04,Sozialwissenschaften/Soziologie,f,1671
771,2021,LB-RW-01,Rechtswissenschaften,f,2189
772,2020,SB-SKW-10,"Anglistik, Amerikanistik",m,707
773,2018,SB-AGRW-01,"Landespflege, Umweltgestaltung",f,278
774,2021,SB-NATW-09,Geographie,f,813
775,2018,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",f,70
776,2018,SB-SKW-06,Informations- und Bibliothekswissenschaften,f,79
777,2018,SB-SKW-07,Allg. und vergl. Literatur- und Sprachwissenschaft,f,938
778,2021,SB-SKW-04,Philosophie,m,1120
779,2022,AFEW-ALLG-01,"Agrar-, Forst- und Ernährungswissenschaften allg.",f,335
780,2021,SB-RWSW-03,Politikwissenschaft,f,910
781,2018,HS-01,Hochschule insgesamt,m,332
782,2023,SB-AGRW-03,"Forstwissenschaft, Holzwirtschaft",f,286
783,2019,SB-SKW-11,Romanistik,f,832
784,2018,HRZ-01,Hochschulrechenzentrum,m,845
785,2021,SB-RWSW-02,Regionalwissenschaften,f,83
786,2022,SB-SKW-19,Medienwissenschaft,f,327
787,2018,SB-SKW-18,Islamische Studien/Islamische Theologie,m,83
788,2023,SB-AGRW-04,Ernährungs- und Haushaltswissenschaften,f,431
789,2023,BIB-ZENTRAL-01,Zentralbibliothek,f,247
790,2019,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",f,290
791,2018,SB-KUNSTW-01,"Kunst, Kunstwissenschaft allgemein",f,706
792,2018,SB-INGW-09,Vermessungswesen,m,426
793,2020,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",m,382
794,2023,KL-ZD-01,"Kliniken insgesamt, Zentrale Dienste",f,1483
795,2022,SB-RWSW-07,Verwaltungswissenschaften,m,1376
796,2022,SB-NATW-09,Geographie,f,796
797,2023,SB-SKW-19,Medienwissenschaft,m,290
798,2023,EINR-SONST-01,Übrige Ausbildungseinrichtungen,f,341
799,2022,SB-NATW-07,Biologie,f,4793
800,2021,SB-KUNSTW-02,Bildende Kunst,f,375
801,2019,SB-SKW-04,Philosophie,m,1076
802,2023,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,f,10
803,2022,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,m,648
804,2023,SB-RWSW-08,Wirtschaftswissenschaften,m,10746
805,2022,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,m,346
806,2018,SF013,Architektur,f,988
807,2022,MEDHUM-ALLG-01,Humanmedizin allgemein,m,603
808,2022,SB-INGW-03,Maschinenbau/Verfahrenstechnik,m,13282
809,2023,SB-INGW-02,"Bergbau, Hüttenwesen",m,391
810,2020,SB-SKW-05,Geschichte,f,1491
811,2019,SB-INGW-08,Bauingenieurwesen,m,3482
812,2023,HRZ-01,Hochschulrechenzentrum,f,245
813,2023,SB-SKW-17,Sonderpädagogik,m,0
814,2023,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,f,187
815,2021,SB-INGW-02,"Bergbau, Hüttenwesen",m,419
816,2020,SB-INGW-11,Materialwissenschaft und Werkstofftechnik,m,1476
817,2019,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",m,451
818,2018,SB-NATW-05,Chemie,m,7412
819,2023,SB-SKW-10,"Anglistik, Amerikanistik",m,677
820,2019,SB-SKW-06,Informations- und Bibliothekswissenschaften,m,85
821,2022,THEOL-EV-01,Evangelische Theologie,f,492
822,2022,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),f,25501
823,2022,SB-SKW-07,Allg. und vergl. Literatur- und Sprachwissenschaft,f,990
824,2020,SB-INGW-04,Elektro- und Informationstechnik,m,7985
825,2023,SB-RWSW-11,Erziehungswissenschaften,m,2148
826,2020,SB-RWSW-02,Regionalwissenschaften,f,82
827,2021,SB-KUNSTW-04,"Darstellende Kunst, Film u.Fernsehen, Theaterwiss.",f,393
828,2021,SB-INGW-05,"Verkehrstechnik, Nautik",m,2076
829,2022,LB-RW-01,Rechtswissenschaften,f,2233
830,2019,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,f,617
831,2023,SB-NATW-05,Chemie,f,3684
832,2019,KL-EINR-SOZ-01,Soziale Einrichtungen der Kliniken,f,15
833,2022,MEDVET-VK-01,Vorklinische Veterinärmedizin,m,110
834,2019,SB-NATW-02,Mathematik,m,4650
835,2023,SB-RWSW-05,Sozialwesen,m,1044
836,2021,SB-INGW-03,Maschinenbau/Verfahrenstechnik,m,13777
837,2022,SB-SKW-10,"Anglistik, Amerikanistik",f,1391
838,2019,EINR-SONST-01,Übrige Ausbildungseinrichtungen,m,227
839,2021,SB-INGW-10,Wirtschaftsingenieurw. mit ingenieurw. Schwerpunkt,m,429
840,2019,SB-INGW-05,"Verkehrstechnik, Nautik",m,1779
841,2023,SB-NATW-06,Pharmazie,f,812
842,2023,SB-SKW-05,Geschichte,m,1746
843,2023,SB-NATW-07,Biologie,f,4876
844,2019,MEDVET-KT-01,Klinisch-theoretische Veterinärmedizin,m,226
845,2018,MEDHUM-KP-01,Klinisch-prakt. Humanmedizin (ohne Zahnmedizin),m,21836
846,2019,MEDHUM-ALLG-01,Humanmedizin allgemein,m,337
847,2022,SB-SKW-11,Romanistik,f,813
848,2023,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),f,1158
849,2023,SB-RWSW-07,Verwaltungswissenschaften,m,1413
850,2022,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",f,285
851,2019,LB-RW-01,Rechtswissenschaften,f,2047
852,2022,HS-01,Hochschule insgesamt,f,361
