,year,subj_grp_code,subj_grp_name,gender,number
869,2019,SB-SKW-19,Medienwissenschaft,GESW,0
870,2020,LB-RW-01,Rechtswissenschaften,GESM,3601
871,2023,SB-INGW-03,Maschinenbau/Verfahrenstechnik,GESM,13088
872,2023,MEDVET-VK-01,Vorklinische Veterinärmedizin,GESM,109
873,2020,SB-NATW-04,"Physik, Astronomie",GESW,2118
874,2023,SB-RWSW-09,Wirtschaftsingenieurw. mit wirtschaftsw. Schwerp.,GESM,634
875,2018,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),GESW,919
876,2018,SB-RWSW-03,Politikwissenschaft,GESM,981
877,2021,PHIL-KLASS-01,Altphilologie (klassische Philologie),GESW,178
878,2023,SB-AGRW-01,"Landespflege, Umweltgestaltung",GESW,233
879,2019,EINR-KLFRMD-02,Mit der Klinik verbundene u.klinikfremde Einricht.,GESM,15
880,2021,SB-NATW-07,Biologie,GESW,4685
881,2019,SB-NATW-09,Geographie,GESM,1100
882,2022,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",GESM,421
883,2021,SB-RWSW-12,Kommunikationswissenschaft/Publizistik,GESM,350
884,2020,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,GESW,3989
885,2020,THEOL-EV-01,Evangelische Theologie,GESW,478
886,2018,EINR-WISS-01,Zentrale wissenschaftliche Einrichtungen,GESW,3822
887,2022,SB-NATW-06,Pharmazie,GESW,770
888,2022,SB-AGRW-02,"Agrarwissensch., Lebensmittel- u. Getränketechnik",GESW,1244
889,2022,SB-INGW-04,Elektro- und Informationstechnik,GESM,7934
890,2021,THEOL-EV-01,Evangelische Theologie,GESW,472
891,2018,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),GESM,2111
892,2018,SB-MEDHUM-01,Gesundheitswissenschaften,GESM,678
893,2020,SB-SKW-04,Philosophie,GESW,635
894,2023,SB-INGW-07,Raumplanung,GESM,368
895,2020,MEDHUM-VK-01,Vorklinische Humanmedizin (einschl. Zahnmedizin),GESM,2150
896,2018,MEDHUM-KT-01,Klinisch-theor. Humanmedizin (einschl.Zahnmedizin),GESM,5343
897,2019,MEDZN-KP-01,Zahnmedizin (klinisch-praktisch),GESW,955
898,2023,SB-RWSW-10,Psychologie,GESM,2205
899,2019,MEDVET-KP-01,Klinisch-praktische Veterinärmedizin,GESM,204
900,2021,FACHGR-RWSW-01,"Rechts-, Wirtschafts- u.Sozialwissenschaften allg.",GESM,377
901,2023,SB-SKW-11,Romanistik,GESM,418
902,2023,HS-01,Hochschule insgesamt,GESW,347
903,2021,SB-SKW-06,Informations- und Bibliothekswissenschaften,GESM,87
904,2019,SB-RWSW-02,Regionalwissenschaften,GESM,86
905,2020,SB-INGW-12,Informatik,GESM,9533
906,2020,SB-MEDHUM-01,Gesundheitswissenschaften,GESM,775
907,2020,SB-NATW-08,Geowissenschaften (ohne Geographie),GESW,1032
908,2020,SB-AGRW-01,"Landespflege, Umweltgestaltung",GESW,233
909,2022,PHIL-KLASS-01,Altphilologie (klassische Philologie),GESW,179
910,2018,KL-EINR-AUSB-01,Übrige Ausbildungseinrichtungen der Kliniken,GESW,97
911,2020,FACHGR-INGW-01,Ingenieurwissenschaften allgemein,GESM,1712
912,2020,SB-KUNSTW-03,Gestaltung,GESW,683
913,2022,SB-NATW-01,"Mathematik, Naturwissenschaften allgemein",GESW,326
914,2020,SB-SKW-12,"Slawistik, Baltistik, Finno-Ugristik",GESM,165
915,2018,SB-INGW-02,"Bergbau, Hüttenwesen",GESM,397
916,2020,SB-NATW-09,Geographie,GESW,808
917,2022,SB-NATW-02,Mathematik,GESW,1674
918,2018,SB-RWSW-08,Wirtschaftswissenschaften,GESM,10972
919,2018,HS-VERW-01,Zentrale Hochschulverwaltung,GESW,2024
920,2023,SB-MEDHUM-01,Gesundheitswissenschaften,GESW,1607
921,2020,SB-SKW-11,Romanistik,GESM,424
922,2019,EINR-VERS-01,Zentrale Betriebs- und Versorgungseinrichtungen,GESW,100
923,2022,SB-INGW-09,Vermessungswesen,GESM,512
924,2020,EINR-HSFRMD-02,Mit der Hochschule verb. u. hochschulfr. Einricht.,GESM,146
925,2020,SB-KUNSTW-02,Bildende Kunst,GESW,338
