,year,nationality,gender,passed,subj_code,subj_name,number
4406,2018,NATA,GESM,PRUEFBESTN,SF206,Polnisch,0
4407,2018,NATD,GESM,PRUEFBESTN,SF458,Umweltschutz,4
4408,2022,NATA,GESM,PRUEFBESTJ,SF284,Angewandte Sprachwissenschaft,24
4409,2018,NATA,GESM,PRUEFBESTJ,SF075,Holzwirtschaft,3
4410,2021,NATD,GESM,PRUEFBESTN,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
4411,2023,NATD,GESM,PRUEFBESTN,SF076,Hütten- und Gießereiwesen,0
4412,2018,NATD,GESW,PRUEFBESTJ,SF143,Augenoptik,118
4413,2022,NATA,GESW,PRUEFBESTJ,SF188,Allgemeine Literaturwissenschaft,62
4414,2020,NATD,GESW,PRUEFBESTJ,SF006,Amerikanistik/Amerikakunde,243
4415,2018,NATA,GESW,PRUEFBESTN,SF132,Psychologie,34
4416,2023,NATD,GESW,PRUEFBESTJ,SF023,Bildende Kunst/Grafik,276
4417,2020,NATD,GESM,PRUEFBESTN,SF223,Nautik/Seefahrt,5
4418,2023,NATA,GESW,PRUEFBESTJ,SF037,Archiv- und Dokumentationswissenschaft,8
4419,2023,NATA,GESW,PRUEFBESTN,SF146,Slawistik (Slawische Philologie),1
4420,2022,NATA,GESW,PRUEFBESTN,SF056,Finno-Ugristik,0
4421,2020,NATA,GESM,PRUEFBESTN,SF211,Energieverfahrenstechnik,5
4422,2021,NATA,GESW,PRUEFBESTJ,SF371,Tierproduktion,3
4423,2018,NATA,GESM,PRUEFBESTN,SF196,Studienkolleg,0
4424,2018,NATA,GESW,PRUEFBESTJ,SF131,Portugiesisch,3
4425,2020,NATD,GESM,PRUEFBESTJ,SF222,Kommunikations- und Informationstechnik,545
4426,2018,NATD,GESM,PRUEFBESTN,SF062,Gehörlosen-/Schwerhörigenpäd. (ab 2016 zu SF190),0
4427,2022,NATA,GESW,PRUEFBESTN,SF057,Luft- und Raumfahrttechnik,2
4428,2019,NATD,GESM,PRUEFBESTJ,SF101,Restaurierungskunde,26
4429,2021,NATA,GESW,PRUEFBESTN,SF253,Sozialwesen,1
4430,2020,NATD,GESW,PRUEFBESTJ,SF245,Sozialpädagogik,1610
4431,2019,NATD,GESM,PRUEFBESTJ,SF091,Kunsterziehung,142
4432,2022,NATA,GESM,PRUEFBESTN,SF380,Mechatronik,86
4433,2023,NATA,GESW,PRUEFBESTN,SF385,Geoökologie,0
4434,2023,NATD,GESW,PRUEFBESTN,SF131,Portugiesisch,0
4435,2019,NATA,GESM,PRUEFBESTJ,SF235,Fahrzeugtechnik,436
4436,2023,NATD,GESW,PRUEFBESTJ,SF169,Ethik,194
4437,2020,NATD,GESW,PRUEFBESTJ,SF005,Klassische Philologie,10
4438,2021,NATA,GESW,PRUEFBESTN,SF013,Architektur,7
4439,2019,NATD,GESW,PRUEFBESTJ,SF544,"Ev. Religionspädagogik, kirchliche Bildungsarbeit",112
4440,2020,NATA,GESW,PRUEFBESTJ,SF233,Nichtärztliche Heilberufe/Therapien,88
4441,2023,NATA,GESM,PRUEFBESTN,SF064,Naturschutz,4
4442,2020,NATA,GESM,PRUEFBESTJ,SF032,Chemie,532
4443,2022,NATD,GESM,PRUEFBESTJ,SF151,Sprachheilpädagogik/Logopädie (ab 2016 zu SF190),0
4444,2018,NATA,GESW,PRUEFBESTN,SF038,Lateinamerika-Studien,0
4445,2020,NATD,GESM,PRUEFBESTN,SF129,Politikwissenschaft/Politologie,99
4446,2021,NATA,GESM,PRUEFBESTJ,SF001,Ägyptologie,18
4447,2023,NATD,GESM,PRUEFBESTN,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
4448,2021,NATD,GESW,PRUEFBESTN,SF265,Bankwesen,0
4449,2023,NATD,GESW,PRUEFBESTN,SF371,Tierproduktion,0
4450,2018,NATD,GESM,PRUEFBESTJ,SF310,Regenerative Energien,214
4451,2022,NATD,GESM,PRUEFBESTN,SF031,Byzantinistik,0
4452,2021,NATA,GESW,PRUEFBESTJ,SF277,Wirtschaftsinformatik,406
4453,2020,NATA,GESM,PRUEFBESTN,SF117,Ausländerpädagogik,0
4454,2021,NATD,GESM,PRUEFBESTJ,SF013,Architektur,2838
4455,2020,NATA,GESM,PRUEFBESTJ,SF178,Wirtschafts-/Sozialgeografie,2
4456,2019,NATD,GESW,PRUEFBESTJ,SF054,Film und Fernsehen,192
4457,2021,NATA,GESW,PRUEFBESTN,SF159,Edelstein- und Schmuckdesign,0
4458,2020,NATA,GESW,PRUEFBESTN,SF102,Schauspiel,0
4459,2019,NATD,GESM,PRUEFBESTJ,SF007,Angewandte Kunst,205
4460,2022,NATD,GESW,PRUEFBESTJ,SF018,Berufsbezogene Fremdsprachenausbildung,148
4461,2021,NATD,GESW,PRUEFBESTJ,SF023,Bildende Kunst/Grafik,306
4462,2022,NATD,GESM,PRUEFBESTN,SF177,Werkstofftechnik,36
4463,2022,NATD,GESW,PRUEFBESTN,SF234,Pflegewissenschaft/-management,3
4464,2023,NATD,GESM,PRUEFBESTJ,SF457,Umwelttechnik (einschließlich Recycling),587
4465,2019,NATD,GESW,PRUEFBESTJ,SF294,Materialwissenschaften,67
4466,2019,NATD,GESM,PRUEFBESTN,SF210,Verkehrswirtschaft,24
4467,2019,NATA,GESW,PRUEFBESTN,SF545,"Kath. Religionspäd., kirchliche Bildungsarbeit",0
4468,2021,NATD,GESM,PRUEFBESTJ,SF253,Sozialwesen,955
4469,2019,NATD,GESM,PRUEFBESTJ,SF247,Medizinische Informatik,197
4470,2019,NATA,GESM,PRUEFBESTN,SF104,Maschinenbau/-wesen,319
4471,2019,NATA,GESW,PRUEFBESTJ,SF162,Caritaswissenschaft,2
4472,2022,NATA,GESW,PRUEFBESTN,SF390,Archäometrie (Ingenieurarchäologie),0
4473,2021,NATA,GESM,PRUEFBESTN,SF254,Sachunterricht (einschließlich Schulgarten),0
4474,2022,NATD,GESM,PRUEFBESTJ,SF057,Luft- und Raumfahrttechnik,1052
4475,2022,NATD,GESW,PRUEFBESTJ,SF258,Arbeitsverwaltung,222
4476,2019,NATD,GESW,PRUEFBESTJ,SF304,Medienwirtschaft/Medienmanagement,1326
4477,2019,NATA,GESW,PRUEFBESTN,SF305,Medientechnik,0
4478,2021,NATD,GESM,PRUEFBESTN,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",2
4479,2021,NATA,GESW,PRUEFBESTJ,SF037,Archiv- und Dokumentationswissenschaft,3
4480,2019,NATD,GESW,PRUEFBESTN,SF161,Diakoniewissenschaft,1
4481,2020,NATA,GESM,PRUEFBESTJ,SF272,Alte Geschichte,1
4482,2021,NATD,GESW,PRUEFBESTJ,SF169,Ethik,177
4483,2021,NATD,GESW,PRUEFBESTN,SF025,Biochemie,5
4484,2021,NATA,GESM,PRUEFBESTJ,SF241,Kerntechnik/Kernverfahrenstechn.(ab 2020 zu SF211),0
4485,2020,NATA,GESM,PRUEFBESTN,SF210,Verkehrswirtschaft,2
4486,2022,NATD,GESW,PRUEFBESTN,SF139,Russisch,0
4487,2020,NATD,GESM,PRUEFBESTJ,SF127,Philosophie,849
4488,2021,NATA,GESM,PRUEFBESTN,SF256,Rechtspflege,0
4489,2021,NATA,GESW,PRUEFBESTJ,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,532
4490,2019,NATD,GESM,PRUEFBESTN,SF117,Ausländerpädagogik,0
4491,2021,NATD,GESM,PRUEFBESTN,SF266,Finanzverwaltung,12
4492,2018,NATD,GESM,PRUEFBESTN,SF061,Meliorationswesen,0
4493,2023,NATA,GESW,PRUEFBESTJ,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,597
4494,2019,NATD,GESW,PRUEFBESTN,SF163,Rhythmik,0
4495,2018,NATA,GESW,PRUEFBESTJ,SF036,Sonstige Regionalwissenschaften,13
4496,2020,NATD,GESW,PRUEFBESTN,SF139,Russisch,0
4497,2018,NATA,GESM,PRUEFBESTJ,SF076,Hütten- und Gießereiwesen,54
4498,2018,NATD,GESM,PRUEFBESTN,SF457,Umwelttechnik (einschließlich Recycling),32
4499,2021,NATD,GESM,PRUEFBESTN,SF026,Biologie,62
4500,2022,NATA,GESW,PRUEFBESTJ,SF043,Neugriechisch,5
4501,2018,NATD,GESW,PRUEFBESTJ,SF144,Technische Kybernetik,21
4502,2023,NATD,GESM,PRUEFBESTJ,SF312,Statistik,194
4503,2019,NATA,GESW,PRUEFBESTJ,SF069,Grafikdesign/Kommunikationsgestaltung,369
4504,2021,NATA,GESW,PRUEFBESTJ,SF130,Westslawisch (allgemein und a.n.g.),0
4505,2023,NATD,GESW,PRUEFBESTN,SF039,Geowissenschaften allgemein,9
4506,2021,NATA,GESM,PRUEFBESTN,SF016,Baltistik,0
4507,2020,NATA,GESW,PRUEFBESTN,SF093,Landespflege/Landschaftsgestaltung,1
4508,2023,NATA,GESW,PRUEFBESTJ,SF130,Westslawisch (allgemein und a.n.g.),0
4509,2019,NATD,GESM,PRUEFBESTJ,SF009,Anthropologie (Humanbiologie),78
4510,2022,NATA,GESM,PRUEFBESTN,SF287,Neue Medien,0
4511,2019,NATD,GESW,PRUEFBESTJ,SF209,Tschechisch,0
4512,2023,NATA,GESM,PRUEFBESTJ,SF074,Transport-/Fördertechnik,5
4513,2019,NATD,GESW,PRUEFBESTJ,SF199,Lernbereich Technik,79
4514,2020,NATA,GESW,PRUEFBESTN,SF103,Markscheidewesen,0
4515,2019,NATA,GESW,PRUEFBESTN,SF055,Orientierungsstudium Gesellschaftswissenschaften,0
4516,2019,NATA,GESM,PRUEFBESTN,SF009,Anthropologie (Humanbiologie),1
4517,2022,NATA,GESW,PRUEFBESTJ,SF283,Landschaftsökol./Biogeografie (ab 2012 ohne SF385),5
4518,2021,NATA,GESW,PRUEFBESTJ,SF276,Wirtschaftsmathematik,88
4519,2020,NATA,GESM,PRUEFBESTN,SF116,Textilgestaltung,0
4520,2018,NATD,GESW,PRUEFBESTN,SF023,Bildende Kunst/Grafik,0
4521,2021,NATD,GESM,PRUEFBESTJ,SF014,Astrophysik und Astronomie,55
4522,2018,NATA,GESM,PRUEFBESTN,SF197,Holzbau,0
4523,2022,NATA,GESW,PRUEFBESTN,SF151,Sprachheilpädagogik/Logopädie (ab 2016 zu SF190),0
4524,2023,NATA,GESW,PRUEFBESTJ,SF276,Wirtschaftsmathematik,87
4525,2018,NATA,GESW,PRUEFBESTJ,SF130,Westslawisch (allgemein und a.n.g.),1
4526,2019,NATD,GESW,PRUEFBESTN,SF069,Grafikdesign/Kommunikationsgestaltung,5
4527,2020,NATD,GESM,PRUEFBESTJ,SF221,Bioinformatik,180
4528,2022,NATD,GESM,PRUEFBESTJ,SF545,"Kath. Religionspäd., kirchliche Bildungsarbeit",17
4529,2023,NATD,GESM,PRUEFBESTJ,SF062,Gehörlosen-/Schwerhörigenpäd. (ab 2016 zu SF190),0
4530,2023,NATD,GESW,PRUEFBESTJ,SF264,Sozialversicherung,497
4531,2018,NATA,GESM,PRUEFBESTJ,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
4532,2018,NATA,GESW,PRUEFBESTN,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
4533,2018,NATD,GESM,PRUEFBESTJ,SF060,Gartenbau,120
4534,2020,NATD,GESM,PRUEFBESTN,SF224,Physikal. Technik/Mechanische Verfahrenstechnik,12
4535,2023,NATA,GESW,PRUEFBESTJ,SF036,Sonstige Regionalwissenschaften,23
4536,2023,NATA,GESW,PRUEFBESTN,SF145,Sinologie/Koreanistik,1
4537,2022,NATD,GESM,PRUEFBESTJ,SF305,Medientechnik,661
4538,2020,NATD,GESM,PRUEFBESTN,SF464,Facility Management,1
4539,2023,NATD,GESW,PRUEFBESTN,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
4540,2018,NATA,GESW,PRUEFBESTJ,SF276,Wirtschaftsmathematik,73
4541,2022,NATD,GESM,PRUEFBESTN,SF271,Deutsch als Fremdsprache oder als Zweitsprache,0
4542,2018,NATD,GESM,PRUEFBESTJ,SF216,Glastechnik/Keramik,36
4543,2018,NATA,GESM,PRUEFBESTN,SF207,Sorabistik,0
4544,2020,NATA,GESW,PRUEFBESTN,SF009,Anthropologie (Humanbiologie),0
4545,2023,NATD,GESM,PRUEFBESTN,SF077,Wasserwirtschaft,0
4546,2018,NATA,GESM,PRUEFBESTN,SF051,Erziehungsschwierigenpädagogik (ab 2016 zu SF190),0
4547,2022,NATA,GESW,PRUEFBESTJ,SF189,Niederdeutsch,0
4548,2023,NATD,GESW,PRUEFBESTJ,SF024,Europäische Ethnologie und Kulturwissenschaft,418
4549,2018,NATD,GESW,PRUEFBESTN,SF263,Polizei/Verfassungsschutz,3
4550,2022,NATA,GESM,PRUEFBESTJ,SF286,Mikrosystemtechnik,167
4551,2020,NATA,GESM,PRUEFBESTJ,SF429,Stahlbau,4
4552,2021,NATA,GESW,PRUEFBESTN,SF012,Archäologie,1
4553,2020,NATD,GESW,PRUEFBESTJ,SF004,Interdisz. Studien (Schwerpunkt Geisteswiss.),1842
4554,2023,NATA,GESM,PRUEFBESTN,SF063,Geistigbeh./Prakt.-Bildb.-Pädag.(ab 2016 zu SF190),0
4555,2020,NATA,GESW,PRUEFBESTJ,SF234,Pflegewissenschaft/-management,64
4556,2020,NATA,GESM,PRUEFBESTJ,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,212
4557,2022,NATA,GESW,PRUEFBESTN,SF058,"Forstwissenschaft, -wirtschaft",2
4558,2023,NATA,GESW,PRUEFBESTN,SF144,Technische Kybernetik,0
4559,2018,NATA,GESW,PRUEFBESTN,SF039,Geowissenschaften allgemein,3
4560,2021,NATA,GESW,PRUEFBESTN,SF252,Journalistik (ab 2008 zu SF303),0
4561,2022,NATD,GESM,PRUEFBESTJ,SF056,Finno-Ugristik,4
4562,2023,NATD,GESW,PRUEFBESTN,SF132,Psychologie,90
4563,2022,NATD,GESW,PRUEFBESTJ,SF257,Arbeits- und Berufsberatung,131
4564,2023,NATA,GESM,PRUEFBESTN,SF219,Kunststofftechnik,1
4565,2022,NATA,GESM,PRUEFBESTJ,SF046,Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232),0
4566,2019,NATA,GESM,PRUEFBESTJ,SF234,Pflegewissenschaft/-management,14
4567,2020,NATA,GESM,PRUEFBESTJ,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,640
4568,2022,NATD,GESW,PRUEFBESTJ,SF111,Mineralogie,5
4569,2018,NATA,GESW,PRUEFBESTJ,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,415
4570,2021,NATD,GESW,PRUEFBESTJ,SF264,Sozialversicherung,566
4571,2023,NATD,GESM,PRUEFBESTN,SF171,Vermessungswesen (Geodäsie),29
4572,2021,NATD,GESW,PRUEFBESTN,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",3
4573,2018,NATD,GESW,PRUEFBESTN,SF169,Ethik,5
4574,2022,NATA,GESM,PRUEFBESTN,SF044,Ost- und Südosteuropa-Studien,0
4575,2022,NATD,GESM,PRUEFBESTN,SF032,Chemie,84
4576,2019,NATA,GESW,PRUEFBESTN,SF544,"Ev. Religionspädagogik, kirchliche Bildungsarbeit",0
4577,2020,NATD,GESW,PRUEFBESTN,SF233,Nichtärztliche Heilberufe/Therapien,14
4578,2023,NATD,GESM,PRUEFBESTJ,SF458,Umweltschutz,138
4579,2021,NATD,GESW,PRUEFBESTN,SF026,Biologie,73
4580,2022,NATD,GESW,PRUEFBESTN,SF233,Nichtärztliche Heilberufe/Therapien,3
4581,2019,NATD,GESM,PRUEFBESTN,SF211,Energieverfahrenstechnik,64
4582,2019,NATD,GESW,PRUEFBESTJ,SF053,"Evangelische Theologie, - Religionslehre",958
4583,2021,NATA,GESM,PRUEFBESTJ,SF146,Slawistik (Slawische Philologie),15
4584,2019,NATA,GESW,PRUEFBESTJ,SF163,Rhythmik,0
4585,2021,NATD,GESM,PRUEFBESTJ,SF254,Sachunterricht (einschließlich Schulgarten),21
4586,2021,NATA,GESW,PRUEFBESTN,SF158,Turkologie,0
4587,2021,NATA,GESW,PRUEFBESTJ,SF036,Sonstige Regionalwissenschaften,26
4588,2021,NATD,GESW,PRUEFBESTN,SF266,Finanzverwaltung,16
4589,2019,NATA,GESW,PRUEFBESTN,SF294,Materialwissenschaften,4
4590,2021,NATD,GESW,PRUEFBESTJ,SF024,Europäische Ethnologie und Kulturwissenschaft,416
4591,2022,NATD,GESM,PRUEFBESTN,SF178,Wirtschafts-/Sozialgeografie,0
4592,2020,NATA,GESM,PRUEFBESTJ,SF273,Mittlere und neuere Geschichte,8
4593,2019,NATA,GESM,PRUEFBESTN,SF093,Landespflege/Landschaftsgestaltung,0
4594,2019,NATA,GESM,PRUEFBESTN,SF103,Markscheidewesen,0
4595,2019,NATD,GESM,PRUEFBESTJ,SF102,Schauspiel,49
4596,2019,NATD,GESW,PRUEFBESTJ,SF303,Kommunikationswissenschaft/Publizistik,2793
4597,2019,NATD,GESM,PRUEFBESTJ,SF092,"Kunstgeschichte, Kunstwissenschaft",215
4598,2019,NATA,GESW,PRUEFBESTN,SF304,Medienwirtschaft/Medienmanagement,4
4599,2022,NATD,GESW,PRUEFBESTJ,SF017,Bauingenieurwesen/Ingenieurbau,2638
4600,2018,NATA,GESM,PRUEFBESTJ,SF077,Wasserwirtschaft,77
4601,2018,NATA,GESM,PRUEFBESTN,SF302,Medienwissenschaft,2
4602,2018,NATD,GESW,PRUEFBESTJ,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
4603,2019,NATA,GESW,PRUEFBESTN,SF152,Allg. Sprachwissenschaft/Indogermanistik,12
4604,2018,NATA,GESW,PRUEFBESTN,SF130,Westslawisch (allgemein und a.n.g.),0
4605,2019,NATA,GESM,PRUEFBESTN,SF008,Anglistik/Englisch,16
4606,2019,NATA,GESW,PRUEFBESTN,SF548,Ur- und Frühgeschichte,0
4607,2020,NATD,GESM,PRUEFBESTN,SF221,Bioinformatik,15
4608,2022,NATA,GESW,PRUEFBESTJ,SF284,Angewandte Sprachwissenschaft,109
4609,2020,NATD,GESM,PRUEFBESTJ,SF126,Pharmazie,690
4610,2021,NATA,GESM,PRUEFBESTN,SF013,Architektur,6
4611,2018,NATA,GESM,PRUEFBESTN,SF292,Islamische Studien/Islamische Theologie,0
4612,2018,NATD,GESM,PRUEFBESTN,SF060,Gartenbau,8
4613,2018,NATA,GESW,PRUEFBESTJ,SF035,Darstellende Kunst/Bühnenkunst/Regie,78
4614,2023,NATD,GESW,PRUEFBESTJ,SF261,Innere Verwaltung,1458
4615,2019,NATD,GESW,PRUEFBESTJ,SF056,Finno-Ugristik,11
4616,2020,NATA,GESW,PRUEFBESTN,SF006,Amerikanistik/Amerikakunde,1
4617,2023,NATA,GESM,PRUEFBESTJ,SF171,Vermessungswesen (Geodäsie),115
4618,2018,NATD,GESM,PRUEFBESTN,SF310,Regenerative Energien,20
4619,2020,NATD,GESW,PRUEFBESTN,SF080,Instrumentalmusik,0
4620,2021,NATA,GESM,PRUEFBESTN,SF159,Edelstein- und Schmuckdesign,0
4621,2018,NATA,GESW,PRUEFBESTN,SF370,Wirtschaftsingenieurw. m. ingenieurwiss.Schwerpkt.,28
4622,2022,NATD,GESM,PRUEFBESTN,SF274,Tourismuswirtschaft,3
4623,2023,NATA,GESW,PRUEFBESTJ,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
4624,2019,NATD,GESW,PRUEFBESTN,SF164,Jazz und Popularmusik,0
4625,2021,NATD,GESM,PRUEFBESTN,SF123,Ingenieurinformatik/Technische Informatik,32
4626,2018,NATA,GESM,PRUEFBESTN,SF208,Soziale Arbeit,0
4627,2020,NATD,GESM,PRUEFBESTN,SF127,Philosophie,67
4628,2021,NATD,GESM,PRUEFBESTN,SF029,Sportwissenschaft,28
4629,2022,NATA,GESM,PRUEFBESTJ,SF282,Biotechnologie,145
4630,2023,NATD,GESM,PRUEFBESTN,SF078,Indologie,1
4631,2018,NATA,GESM,PRUEFBESTJ,SF171,Vermessungswesen (Geodäsie),106
4632,2023,NATD,GESW,PRUEFBESTJ,SF021,Betriebswirtschaftslehre,21065
4633,2019,NATA,GESW,PRUEFBESTN,SF058,"Forstwissenschaft, -wirtschaft",4
4634,2018,NATD,GESW,PRUEFBESTJ,SF141,Abfallwirtschaft,7
4635,2020,NATD,GESW,PRUEFBESTJ,SF008,Anglistik/Englisch,4696
4636,2018,NATA,GESW,PRUEFBESTN,SF036,Sonstige Regionalwissenschaften,0
4637,2018,NATD,GESW,PRUEFBESTN,SF266,Finanzverwaltung,16
4638,2018,NATD,GESW,PRUEFBESTN,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",7
4639,2023,NATA,GESW,PRUEFBESTJ,SF035,Darstellende Kunst/Bühnenkunst/Regie,52
4640,2022,NATA,GESW,PRUEFBESTN,SF152,Allg. Sprachwissenschaft/Indogermanistik,4
4641,2020,NATA,GESM,PRUEFBESTN,SF115,Grundschul-/Primärstufenpädagogik,0
4642,2022,NATA,GESM,PRUEFBESTJ,SF042,Wirtschaftsrecht,78
4643,2018,NATA,GESM,PRUEFBESTN,SF198,Managem.im Gesundh.-u.Sozialber.(ab 2004 zu SF232),0
4644,2021,NATD,GESM,PRUEFBESTN,SF269,Zoll- und Steuerverwaltung,62
4645,2018,NATD,GESM,PRUEFBESTJ,SF215,Gesundheitstechnik,913
4646,2020,NATD,GESM,PRUEFBESTJ,SF220,Milch- und Molkereiwirtschaft,10
4647,2023,NATD,GESM,PRUEFBESTJ,SF063,Geistigbeh./Prakt.-Bildb.-Pädag.(ab 2016 zu SF190),0
4648,2022,NATA,GESM,PRUEFBESTN,SF284,Angewandte Sprachwissenschaft,0
4649,2018,NATA,GESM,PRUEFBESTN,SF052,Erziehungswissenschaft (Pädagogik),4
4650,2023,NATA,GESM,PRUEFBESTJ,SF077,Wasserwirtschaft,101
4651,2022,NATA,GESW,PRUEFBESTJ,SF044,Ost- und Südosteuropa-Studien,18
4652,2018,NATD,GESM,PRUEFBESTN,SF216,Glastechnik/Keramik,2
4653,2023,NATD,GESM,PRUEFBESTJ,SF219,Kunststofftechnik,99
4654,2018,NATD,GESW,PRUEFBESTJ,SF287,Neue Medien,155
4655,2023,NATD,GESW,PRUEFBESTJ,SF167,Europäische Wirtschaft,226
4656,2023,NATD,GESW,PRUEFBESTN,SF036,Sonstige Regionalwissenschaften,0
4657,2018,NATA,GESW,PRUEFBESTN,SF276,Wirtschaftsmathematik,21
4658,2018,NATA,GESW,PRUEFBESTJ,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
4659,2023,NATA,GESM,PRUEFBESTN,SF066,Geophysik,0
4660,2023,NATA,GESW,PRUEFBESTN,SF143,Augenoptik,1
4661,2019,NATA,GESW,PRUEFBESTJ,SF160,Computerlinguistik,47
4662,2022,NATD,GESM,PRUEFBESTJ,SF153,"Südslawisch(Bulgarisch,Serbokroatisch,Slowen.usw.)",0
4663,2020,NATD,GESW,PRUEFBESTJ,SF101,Restaurierungskunde,162
4664,2022,NATD,GESW,PRUEFBESTJ,SF256,Rechtspflege,506
4665,2019,NATD,GESM,PRUEFBESTJ,SF245,Sozialpädagogik,346
4666,2023,NATD,GESM,PRUEFBESTN,SF172,Verwaltungswissenschaft/-wesen,119
4667,2021,NATA,GESW,PRUEFBESTJ,SF039,Geowissenschaften allgemein,107
4668,2023,NATD,GESW,PRUEFBESTN,SF275,Wissenschaftsgeschichte/Technikgeschichte,0
4669,2022,NATA,GESM,PRUEFBESTJ,SF189,Niederdeutsch,0
4670,2021,NATD,GESW,PRUEFBESTN,SF361,Schulpädagogik,2
4671,2020,NATA,GESM,PRUEFBESTJ,SF274,Tourismuswirtschaft,49
4672,2021,NATD,GESM,PRUEFBESTJ,SF011,Arbeitslehre/Wirtschaftslehre,139
4673,2022,NATA,GESW,PRUEFBESTN,SF059,Französisch,0
4674,2020,NATD,GESW,PRUEFBESTJ,SF247,Medizinische Informatik,146
4675,2022,NATD,GESW,PRUEFBESTJ,SF110,Meteorologie,46
4676,2021,NATA,GESW,PRUEFBESTN,SF255,Archivwesen,0
4677,2018,NATD,GESW,PRUEFBESTN,SF026,Biologie,284
4678,2021,NATD,GESW,PRUEFBESTJ,SF265,Bankwesen,58
4679,2018,NATA,GESM,PRUEFBESTN,SF199,Lernbereich Technik,1
4680,2021,NATD,GESW,PRUEFBESTN,SF121,Medieninformatik,7
4681,2022,NATA,GESM,PRUEFBESTJ,SF043,Neugriechisch,3
4682,2022,NATA,GESM,PRUEFBESTN,SF141,Abfallwirtschaft,0
4683,2019,NATA,GESM,PRUEFBESTJ,SF233,Nichtärztliche Heilberufe/Therapien,29
4684,2023,NATA,GESM,PRUEFBESTN,SF160,Computerlinguistik,1
4685,2023,NATA,GESM,PRUEFBESTN,SF316,Elektronische Energietechnik,6
4686,2022,NATD,GESW,PRUEFBESTN,SF232,Gesundheitswissenschaften/-management,34
4687,2022,NATA,GESW,PRUEFBESTN,SF548,Ur- und Frühgeschichte,0
4688,2020,NATA,GESW,PRUEFBESTJ,SF137,"Romanistik (Roman.Philologie,Einzelsprach. a.n.g.)",91
4689,2020,NATD,GESW,PRUEFBESTJ,SF091,Kunsterziehung,782
4690,2020,NATA,GESM,PRUEFBESTJ,SF034,Dänisch,0
4691,2019,NATA,GESM,PRUEFBESTN,SF102,Schauspiel,0
4692,2019,NATA,GESW,PRUEFBESTJ,SF066,Geophysik,10
4693,2021,NATD,GESM,PRUEFBESTJ,SF157,Mikroelektronik,23
4694,2022,NATD,GESM,PRUEFBESTJ,SF059,Französisch,120
4695,2021,NATA,GESM,PRUEFBESTN,SF252,Journalistik (ab 2008 zu SF303),0
4696,2021,NATA,GESW,PRUEFBESTJ,SF133,Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303),0
4697,2022,NATD,GESM,PRUEFBESTN,SF033,Chemie-Ingenieurwesen/Chemieverfahrenstechnik,31
4698,2020,NATA,GESW,PRUEFBESTN,SF090,Lernbereich Geisteswissenschaften,4
4699,2021,NATD,GESW,PRUEFBESTN,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
4700,2019,NATD,GESW,PRUEFBESTJ,SF150,Spanisch,704
4701,2021,NATA,GESM,PRUEFBESTJ,SF145,Sinologie/Koreanistik,16
4702,2021,NATA,GESM,PRUEFBESTN,SF012,Archäologie,0
4703,2019,NATD,GESM,PRUEFBESTJ,SF005,Klassische Philologie,14
4704,2019,NATA,GESM,PRUEFBESTJ,SF139,Russisch,3
4705,2022,NATD,GESW,PRUEFBESTJ,SF016,Baltistik,0
4706,2022,NATA,GESM,PRUEFBESTN,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
4707,2022,NATD,GESW,PRUEFBESTN,SF138,Agrarbiologie,3
4708,2021,NATD,GESW,PRUEFBESTJ,SF025,Biochemie,984
4709,2019,NATD,GESW,PRUEFBESTJ,SF390,Archäometrie (Ingenieurarchäologie),1
4710,2022,NATD,GESM,PRUEFBESTN,SF179,Wirtschaftsingenieurw.m.wirtschaftswiss.Schwerpkt.,144
4711,2021,NATA,GESM,PRUEFBESTJ,SF385,Geoökologie,13
4712,2019,NATA,GESM,PRUEFBESTN,SF092,"Kunstgeschichte, Kunstwissenschaft",4
4713,2019,NATD,GESM,PRUEFBESTN,SF114,Musikwissenschaft/-geschichte,9
4714,2019,NATA,GESW,PRUEFBESTJ,SF316,Elektronische Energietechnik,20
