,year,nationality,gender,passed,subj_code,subj_name,number
73,2018,NATD,GESW,PRUEFBESTJ,SF294,Materialwissenschaften,50
74,2019,NATA,GESM,PRUEFBESTN,SF135,Rechtswissenschaft,20
75,2023,NATD,GESW,PRUEFBESTJ,SF258,Arbeitsverwaltung,194
76,2020,NATD,GESM,PRUEFBESTN,SF182,Internationale Betriebswirtschaft/Management,80
77,2018,NATA,GESW,PRUEFBESTN,SF091,Kunsterziehung,0
78,2020,NATA,GESM,PRUEFBESTN,SF050,Geografie/Erdkunde,4
79,2019,NATD,GESM,PRUEFBESTN,SF121,Medieninformatik,129
80,2021,NATD,GESM,PRUEFBESTN,SF271,Deutsch als Fremdsprache oder als Zweitsprache,1
81,2023,NATA,GESW,PRUEFBESTN,SF056,Finno-Ugristik,0
82,2023,NATA,GESW,PRUEFBESTJ,SF006,Amerikanistik/Amerikakunde,87
83,2022,NATD,GESW,PRUEFBESTJ,SF169,Ethik,183
84,2022,NATA,GESW,PRUEFBESTJ,SF037,Archiv- und Dokumentationswissenschaft,9
85,2019,NATA,GESW,PRUEFBESTN,SF180,Kaukasistik,1
86,2019,NATA,GESW,PRUEFBESTJ,SF371,Tierproduktion,4
87,2023,NATD,GESW,PRUEFBESTJ,SF018,Berufsbezogene Fremdsprachenausbildung,148
88,2023,NATD,GESM,PRUEFBESTJ,SF390,Archäometrie (Ingenieurarchäologie),2
89,2023,NATA,GESW,PRUEFBESTN,SF150,Spanisch,2
90,2019,NATD,GESW,PRUEFBESTN,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),42
91,2019,NATD,GESM,PRUEFBESTJ,SF060,Gartenbau,112
92,2023,NATD,GESM,PRUEFBESTN,SF081,Iranistik,1
93,2020,NATA,GESW,PRUEFBESTN,SF159,Edelstein- und Schmuckdesign,0
94,2018,NATD,GESW,PRUEFBESTN,SF019,Orientierungsstudium MINT,0
95,2021,NATA,GESW,PRUEFBESTN,SF092,"Kunstgeschichte, Kunstwissenschaft",5
96,2020,NATD,GESW,PRUEFBESTN,SF025,Biochemie,23
97,2023,NATA,GESM,PRUEFBESTN,SF105,Mathematik,38
98,2023,NATD,GESM,PRUEFBESTN,SF237,Math.Stat./Wahrscheinlichkeitsr. (ab 2020 z.SF312),0
99,2023,NATA,GESM,PRUEFBESTN,SF095,Latein,0
100,2022,NATD,GESM,PRUEFBESTN,SF120,"Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g)",0
101,2023,NATD,GESW,PRUEFBESTN,SF162,Caritaswissenschaft,0
102,2020,NATD,GESM,PRUEFBESTN,SF088,Optoelektronik,2
103,2023,NATA,GESW,PRUEFBESTN,SF390,Archäometrie (Ingenieurarchäologie),0
104,2022,NATD,GESM,PRUEFBESTN,SF268,Verkehrswesen,0
105,2020,NATA,GESW,PRUEFBESTN,SF013,Architektur,14
106,2018,NATD,GESW,PRUEFBESTN,SF259,Auswärtige Angelegenheiten,0
107,2021,NATD,GESM,PRUEFBESTN,SF031,Byzantinistik,0
108,2021,NATD,GESW,PRUEFBESTN,SF234,Pflegewissenschaft/-management,6
109,2019,NATA,GESW,PRUEFBESTN,SF086,"Katholische Theologie, - Religionslehre",3
110,2021,NATD,GESM,PRUEFBESTN,SF177,Werkstofftechnik,17
111,2022,NATA,GESM,PRUEFBESTN,SF256,Rechtspflege,0
112,2021,NATA,GESW,PRUEFBESTN,SF102,Schauspiel,0
113,2018,NATA,GESW,PRUEFBESTN,SF007,Angewandte Kunst,0
114,2020,NATD,GESW,PRUEFBESTN,SF265,Bankwesen,0
115,2019,NATD,GESM,PRUEFBESTN,SF027,Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190),0
116,2019,NATD,GESM,PRUEFBESTJ,SF310,Regenerative Energien,311
117,2022,NATA,GESM,PRUEFBESTN,SF014,Astrophysik und Astronomie,0
118,2022,NATD,GESM,PRUEFBESTN,SF266,Finanzverwaltung,8
119,2022,NATD,GESM,PRUEFBESTJ,SF310,Regenerative Energien,294
120,2021,NATD,GESW,PRUEFBESTJ,SF545,"Kath. Religionspäd., kirchliche Bildungsarbeit",48
121,2022,NATD,GESW,PRUEFBESTN,SF072,Interdisz. Studien (Schwerp. Ingenieurwissensch.),10
122,2022,NATA,GESW,PRUEFBESTN,SF182,Internationale Betriebswirtschaft/Management,33
123,2022,NATA,GESM,PRUEFBESTJ,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0
124,2021,NATA,GESW,PRUEFBESTJ,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,76
125,2019,NATA,GESW,PRUEFBESTJ,SF132,Psychologie,638
126,2021,NATD,GESM,PRUEFBESTJ,SF223,Nautik/Seefahrt,120
127,2022,NATD,GESM,PRUEFBESTJ,SF060,Gartenbau,151
128,2021,NATA,GESM,PRUEFBESTN,SF047,Krankenpflege-Ausbildung (ab 2004 zu SF234),0
