,year,nationality,gender,subj_code,subj_name,number,subgroup
81,2023,NATD,GESM,SF121,Medieninformatik,9384,stud_all
82,2020,NATA,GESM,SF385,Geoökologie,55,stud_all
83,2019,NATA,GESW,SF361,Schulpädagogik,52,stud_all
84,2023,NATD,GESW,SF118,Technomathematik,537,stud_all
85,2022,NATD,GESM,SF034,Dänisch,20,stud_all
86,2019,NATD,GESM,SF138,Agrarbiologie,330,stud_all
87,2023,NATA,GESM,SF084,Italienisch,76,stud_all
88,2018,NATA,GESW,SF034,Dänisch,1,stud_all
89,2020,NATA,GESW,SF083,Islamwissenschaft,180,stud_all
90,2020,NATA,GESM,SF145,Sinologie/Koreanistik,175,stud_all
91,2018,NATD,GESM,SF003,Agrarwissenschaft/Landwirtschaft,7645,stud_all
92,2019,NATA,GESW,SF121,Medieninformatik,842,stud_all
93,2018,NATA,GESW,SF274,Tourismuswirtschaft,969,stud_all
94,2022,NATA,GESM,SF105,Mathematik,3686,stud_all
95,2021,NATD,GESM,SF187,Asiatische Sprachen u.Kulturen/Asienwissenschaften,415,stud_all
96,2022,NATA,GESM,SF095,Latein,33,stud_all
97,2022,NATD,GESM,SF274,Tourismuswirtschaft,1975,stud_all
98,2021,NATA,GESM,SF138,Agrarbiologie,283,stud_all
99,2018,NATD,GESM,SF149,Soziologie,6507,stud_all
100,2018,NATD,GESW,SF083,Islamwissenschaft,1185,stud_all
101,2021,NATD,GESM,SF041,Sonstiges Orientierungsstudium,6,stud_all
102,2019,NATD,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0,stud_all
103,2020,NATA,GESW,SF333,Haushaltswissenschaft,1,stud_all
104,2018,NATD,GESM,SF385,Geoökologie,545,stud_all
105,2023,NATA,GESM,SF088,Optoelektronik,80,stud_all
106,2023,NATD,GESW,SF210,Verkehrswirtschaft,338,stud_all
107,2022,NATA,GESM,SF008,Anglistik/Englisch,1517,stud_all
108,2021,NATA,GESW,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0,stud_all
109,2018,NATD,GESM,SF145,Sinologie/Koreanistik,951,stud_all
110,2022,NATA,GESW,SF282,Biotechnologie,1930,stud_all
111,2018,NATD,GESW,SF086,"Katholische Theologie, - Religionslehre",3888,stud_all
112,2021,NATD,GESW,SF230,Gesang,454,stud_all
113,2021,NATD,GESW,SF136,Religionswissenschaft,879,stud_all
114,2023,NATA,GESW,SF274,Tourismuswirtschaft,879,stud_all
115,2018,NATA,GESM,SF085,Japanologie,145,stud_all
116,2023,NATD,GESW,SF116,Textilgestaltung,2027,stud_all
117,2020,NATD,GESW,SF144,Technische Kybernetik,82,stud_all
118,2022,NATD,GESM,SF036,Sonstige Regionalwissenschaften,119,stud_all
119,2022,NATA,GESW,SF042,Wirtschaftsrecht,1258,stud_all
120,2023,NATD,GESM,SF268,Verkehrswesen,0,stud_all
121,2021,NATA,GESW,SF076,Hütten- und Gießereiwesen,112,stud_all
122,2019,NATD,GESW,SF078,Indologie,88,stud_all
123,2022,NATD,GESW,SF124,Ozeanografie,3,stud_all
124,2023,NATA,GESW,SF034,Dänisch,2,stud_all
125,2019,NATA,GESM,SF171,Vermessungswesen (Geodäsie),799,stud_all
126,2023,NATD,GESM,SF028,Brauwesen/Getränketechnologie,369,stud_all
127,2022,NATA,GESW,SF188,Allgemeine Literaturwissenschaft,508,stud_all
128,2018,NATA,GESW,SF271,Deutsch als Fremdsprache oder als Zweitsprache,1649,stud_all
129,2022,NATA,GESW,SF189,Niederdeutsch,0,stud_all
130,2019,NATA,GESM,SF078,Indologie,19,stud_all
131,2018,NATA,GESW,SF031,Byzantinistik,9,stud_all
132,2023,NATD,GESM,SF122,"Orientalistik, Altorientalistik",332,stud_all
133,2020,NATA,GESM,SF144,Technische Kybernetik,43,stud_all
134,2020,NATD,GESM,SF197,Holzbau,590,stud_all
135,2021,NATD,GESM,SF044,Ost- und Südosteuropa-Studien,139,stud_all
136,2020,NATD,GESM,SF207,Sorabistik,4,stud_all
137,2019,NATD,GESM,SF235,Fahrzeugtechnik,9662,stud_all
138,2022,NATD,GESM,SF275,Wissenschaftsgeschichte/Technikgeschichte,22,stud_all
139,2021,NATA,GESM,SF135,Rechtswissenschaft,3280,stud_all
140,2018,NATA,GESW,SF177,Werkstofftechnik,501,stud_all
141,2019,NATA,GESW,SF264,Sozialversicherung,61,stud_all
142,2022,NATA,GESM,SF102,Schauspiel,62,stud_all
143,2020,NATD,GESM,SF051,Erziehungsschwierigenpädagogik (ab 2016 zu SF190),0,stud_all
144,2019,NATD,GESW,SF171,Vermessungswesen (Geodäsie),1328,stud_all
145,2021,NATD,GESM,SF284,Angewandte Sprachwissenschaft,924,stud_all
146,2022,NATA,GESM,SF092,"Kunstgeschichte, Kunstwissenschaft",219,stud_all
147,2023,NATA,GESM,SF181,Wirtschaftspädagogik,73,stud_all
148,2018,NATD,GESW,SF180,Kaukasistik,0,stud_all
149,2019,NATA,GESW,SF024,Europäische Ethnologie und Kulturwissenschaft,478,stud_all
150,2020,NATA,GESW,SF080,Instrumentalmusik,2549,stud_all
151,2019,NATA,GESM,SF170,Verhaltensgestörtenpädagogik (ab 2016 zu SF190),0,stud_all
152,2023,NATD,GESM,SF029,Sportwissenschaft,12335,stud_all
153,2022,NATD,GESW,SF123,Ingenieurinformatik/Technische Informatik,1657,stud_all
154,2021,NATD,GESW,SF231,Druck- und Reproduktionstechnik,719,stud_all
155,2022,NATD,GESM,SF277,Wirtschaftsinformatik,45471,stud_all
156,2023,NATA,GESM,SF087,Körperbehindertenpädagogik (ab 2016 zu SF190),0,stud_all
157,2022,NATA,GESM,SF009,Anthropologie (Humanbiologie),74,stud_all
158,2020,NATD,GESW,SF385,Geoökologie,797,stud_all
159,2019,NATD,GESM,SF234,Pflegewissenschaft/-management,2705,stud_all
160,2018,NATD,GESM,SF146,Slawistik (Slawische Philologie),392,stud_all
161,2021,NATD,GESM,SF189,Niederdeutsch,1,stud_all
162,2020,NATD,GESW,SF145,Sinologie/Koreanistik,1914,stud_all
163,2023,NATD,GESM,SF123,Ingenieurinformatik/Technische Informatik,9064,stud_all
164,2019,NATA,GESM,SF076,Hütten- und Gießereiwesen,287,stud_all
